"file","replicate","experiment","fraction"
"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD013809/CK-E06-170501-I_E6_01_6085.d","rep3","E06",1
"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD013809/CK-E07-170501-I_E7_01_6087.d","rep3","E07",1
"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD013809/CK-E08-170501-I_E8_01_6088.d","rep3","E08",1
"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD013809/CK-E09-170501-I_E9_01_6089.d","rep3","E09",1
"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD013809/CK-E10-170501-I_E10_01_6090.d","rep3","E10",1
"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD013809/CK-E11-170501-I_E11_01_6091.d","rep3","E11",1
"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD013809/CK-E12-170501-I_E12_01_6092.d","rep3","E12",1
"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD013809/CK-B1-170501_Slot2-13_01_488.d","rep3","B01",1
"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD013809/CK-B1-170501-I-repeat_B1_01_6107.d","rep3","B01",2
"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD013809/CK-B1-170501-repeat_Slot2-13_01_513.d","rep3","B01",3
"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD013809/CK-B2-170501_Slot2-14_01_489.d","rep3","B02",1
"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD013809/CK-B2-170501_Slot2-14_01_514-repeat.d","rep3","B02",2
"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD013809/CK-B2-170501-I-repeat_B2_01_6106.d","rep3","B02",3
"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD013809/CK-B3-170501_Slot2-15_01_515-repeat.d","rep3","B03",1
"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD013809/CK-B3-170501-I-repeat_B3_01_6105.d","rep3","B03",2
"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD013809/CK-B4-170501_Slot2-16_01_516.d","rep3","B04",1
