"replicate","experiment","fraction","file"
"SEC2","fraction08",1,"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD002892/Nsco_20130906_SEC_PCP_SILAC_4hr_fraction08.raw"
"SEC2","fraction09",1,"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD002892/Nsco_20130906_SEC_PCP_SILAC_4hr_fraction09.raw"
"SEC2","fraction10",1,"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD002892/Nsco_20130906_SEC_PCP_SILAC_4hr_fraction10.raw"
"SEC2","fraction11",1,"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD002892/Nsco_20130906_SEC_PCP_SILAC_4hr_fraction11.raw"
"SEC2","fraction12",1,"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD002892/Nsco_20130906_SEC_PCP_SILAC_4hr_fraction12.raw"
"SEC2","fraction13",1,"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD002892/Nsco_20130906_SEC_PCP_SILAC_4hr_fraction13.raw"
"SEC2","fraction14",1,"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD002892/Nsco_20130906_SEC_PCP_SILAC_4hr_fraction14.raw"
"SEC2","fraction15",1,"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD002892/Nsco_20130906_SEC_PCP_SILAC_4hr_fraction15.raw"
"SEC2","fraction16",1,"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD002892/Nsco_20130906_SEC_PCP_SILAC_4hr_fraction16.raw"
"SEC2","fraction17",1,"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD002892/Nsco_20130906_SEC_PCP_SILAC_4hr_fraction17.raw"
"SEC2","fraction18",1,"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD002892/Nsco_20130906_SEC_PCP_SILAC_4hr_fraction18_130909105410.raw"
"SEC2","fraction18",2,"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD002892/Nsco_20130906_SEC_PCP_SILAC_4hr_fraction18.raw"
"SEC2","fraction19",1,"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD002892/Nsco_20130906_SEC_PCP_SILAC_4hr_fraction19.raw"
"SEC2","fraction20",1,"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD002892/Nsco_20130906_SEC_PCP_SILAC_4hr_fraction20.raw"
"SEC2","fraction21",1,"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD002892/Nsco_20130906_SEC_PCP_SILAC_4hr_fraction21.raw"
"SEC2","fraction22",1,"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD002892/Nsco_20130906_SEC_PCP_SILAC_4hr_fraction22.raw"
"SEC2","fraction23",1,"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD002892/Nsco_20130906_SEC_PCP_SILAC_4hr_fraction23.raw"
"SEC2","fraction24",1,"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD002892/Nsco_20130906_SEC_PCP_SILAC_4hr_fraction24.raw"
"SEC2","fraction25",1,"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD002892/Nsco_20130906_SEC_PCP_SILAC_4hr_fraction25.raw"
"SEC2","fraction26",1,"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD002892/Nsco_20130906_SEC_PCP_SILAC_4hr_fraction26.raw"
"SEC2","fraction27",1,"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD002892/Nsco_20130906_SEC_PCP_SILAC_4hr_fraction27.raw"
"SEC2","fraction28",1,"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD002892/Nsco_20130906_SEC_PCP_SILAC_4hr_fraction28.raw"
"SEC2","fraction29",1,"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD002892/Nsco_20130906_SEC_PCP_SILAC_4hr_fraction29.raw"
"SEC2","fraction30",1,"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD002892/Nsco_20130906_SEC_PCP_SILAC_4hr_fraction30.raw"
"SEC2","fraction31",1,"/home/skinnim/projects/rrg-ljfoster-ab/skinnim/CFdb/PXD002892/Nsco_20130906_SEC_PCP_SILAC_4hr_fraction31.raw"
