"file","species","detergent","replicate","experiment","fraction"
"OT25cm_CH17_KNOW_Point-29.raw","Pk","0.1","CH17","29",1
"OT25cm_CH17_KNOW_Point-30.raw","Pk","0.1","CH17","30",1
"OT25cm_CH17_KNOW_Point-31.raw","Pk","0.1","CH17","31",1
"OT25cm_CH17_KNOW_Point-32.raw","Pk","0.1","CH17","32",1
"OT25cm_CH17_KNOW_Point-33.raw","Pk","0.1","CH17","33",1
"OT25cm_CH17_KNOW_Point-34.raw","Pk","0.1","CH17","34",1
"OT25cm_CH17_KNOW_Point-35.raw","Pk","0.1","CH17","35",1
"OT25cm_CH17_KNOW_Point-36.raw","Pk","0.1","CH17","36",1
"OT25cm_CH17_KNOW_Point-37.raw","Pk","0.1","CH17","37",1
"OT25cm_CH17_KNOW_Point-38.raw","Pk","0.1","CH17","38",1
"OT25cm_CH17_KNOW_Point-39.raw","Pk","0.1","CH17","39",1
"OT25cm_CH17_KNOW_Point-40.raw","Pk","0.1","CH17","40",1
"OT25cm_CH17_KNOW_Point-41.raw","Pk","0.1","CH17","41",1
"OT25cm_CH17_KNOW_Point-42.raw","Pk","0.1","CH17","42",1
